"ligand","receptor","prob","ligand_confidence","receptor_confidence","combined_confidence","final_score"
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr1a",0,0.665126604991613,0.661471403489312,0.663296486423593,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr1d",0,0.665126604991613,0.662685155641297,0.663904758041419,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr1e",0,0.665126604991613,0.652916526836613,0.658993287399615,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr1f",0,0.665126604991613,0.602073294215363,0.632815112128006,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr2a",0,0.665126604991613,0.65349652772059,0.659285921931148,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr2b",0,0.665126604991613,0.645430893630334,0.655204745890204,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr3a",0,0.665126604991613,0.656862155108161,0.660981463563515,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr3b",0,0.665126604991613,0.653104081776347,0.659087930869673,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr5a",0,0.665126604991613,0.648196858642104,0.656607170197563,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Slc6a4",0,0.665126604991613,0.664707907553095,0.664917223315706,0
"Chat,Slc18a3","Chrm4",0,0.710045613328086,0.599011449635369,0.652169803154739,0
"Chat,Slc18a3","Chrna3",0,0.710045613328086,0.622294469638981,0.664723595463172,0
"Chat,Slc18a3","Chrnb1",0,0.710045613328086,0.607541541427395,0.656796929351155,0
"Chat,Slc18a3","Chrne",0,0.710045613328086,0.626225978312723,0.66682007232314,0
"Chat,Slc18a3","Chrng",0,0.710045613328086,0.609475851144633,0.657841663726651,0
"Th,Ddc,Slc18a1,Slc18a2","Drd1",0,0.676587437856823,0.631115866832783,0.653456247449805,0
"Th,Ddc,Slc18a1,Slc18a2","Drd3",0,0.676587437856823,0.63194849615892,0.653887156834905,0
"Th,Ddc,Slc18a1,Slc18a2","Slc6a3",0,0.676587437856823,0.621404179747534,0.648409023571468,0
"Th,Ddc,Dbh,Pnmt,Slc18a1,Slc18a2","Adra1a",0,0.680509389300544,0.634148567511042,0.656920127871535,0
"Th,Ddc,Dbh,Pnmt,Slc18a1,Slc18a2","Adra2a",0,0.680509389300544,0.645833111133668,0.662944564837546,0
"Th,Ddc,Dbh,Pnmt,Slc18a1,Slc18a2","Adra2c",0,0.680509389300544,0.640988598275164,0.66045344995756,0
"Th,Ddc,Dbh,Pnmt,Slc18a1,Slc18a2","Adrb3",0,0.680509389300544,0.624937556068067,0.652131792378546,0
"Gja10","Gja10",0,0.64377058198907,0.64377058198907,0.64377058198907,0
"Gja4","Gja4",0,0.648234312690977,0.648234312690977,0.648234312690977,0
"Gja6","Gja6",0,0.665,0.665,0.665,0
"Gjb4","Gjb4",0,0.650416753524957,0.650416753524957,0.650416753524957,0
"Gjb5","Gjb5",0,0.661497542436552,0.661497542436552,0.661497542436552,0
"Gjb6","Gjb6",0,0.665,0.665,0.665,0
"Gjd4","Gjd4",0,0.649057686571687,0.649057686571687,0.649057686571687,0
"Gje1","Gje1",0,0.663808569055815,0.663808569055815,0.663808569055815,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Grin1",0,0.706644442575008,0.620680775372148,0.662269296079681,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Grin3b",0,0.706644442575008,0.616054851087861,0.659796739036055,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Grm2",0,0.706644442575008,0.620837315381659,0.662352805276491,0
"Shmt1,Shmt2,Slc32a1","Glra4",0,0.654853901871509,0.630300935811858,0.642460136638577,0
"Shmt1,Shmt2,Slc32a1","Glrb",0,0.654853901871509,0.622295802627572,0.63836731939294,0
"Th,Ddc,Dbh,Slc18a1,Slc18a2","Adra1a",0,0.679727895266709,0.634148567511042,0.656542817400876,0
"Th,Ddc,Dbh,Slc18a1,Slc18a2","Adra2a",0,0.679727895266709,0.645833111133668,0.662563794154524,0
"Th,Ddc,Dbh,Slc18a1,Slc18a2","Adra2c",0,0.679727895266709,0.640988598275164,0.660074110078206,0
"Th,Ddc,Dbh,Slc18a1,Slc18a2","Adrb3",0,0.679727895266709,0.624937556068067,0.65175723214957,0
"Nmb","Nmbr",0,0.627249627675069,0.694036115274204,0.659798374428731,0
"Pdyn","Oprd1",0,0.634998257694393,0.628892761778812,0.631938136217589,0
"Pdyn","Oprk1",0,0.634998257694393,0.690558844499415,0.66219609111847,0
"Penk","Oprd1",0,0.677219597615618,0.628892761778812,0.652608997084182,0
"Pthlh","Pth1r",0,0.642790628078259,0.673673508314013,0.658050923203401,0
"Rln1","Rxfp2",0,0.681408864913697,0.647773663746374,0.66437844406212,0
