"ligand","receptor","prob","ligand_confidence","receptor_confidence","combined_confidence","final_score"
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr6",0,0.665126604991613,0.807170282424481,0.732714425679689,0
"Chat,Slc18a3","Chrm3",0,0.710045613328086,0.805273626652345,0.756162023731221,0
"Chat,Slc18a3","Chrna10",0,0.710045613328086,0.74767503697623,0.728617444342287,0
"Chat,Slc18a3","Chrna7",0,0.710045613328086,0.781404734980072,0.744871132684302,0
"Adcyap1","Adcyap1r1",0.000265911615639122,0.707451442913381,0.767810212602667,0.737013190376798,0.000195980368200438
"Hmox1,Hmox2","Gucy1a1",0,0.702787765995984,0.813855123537966,0.756285279584121,0
"Hmox1,Hmox2","Gucy1a2",0,0.702787765995984,0.781546991818324,0.741121895777531,0
"Cck","Cckbr",0,0.762229301683144,0.695876741237732,0.728297770510921,0
"Gad1,Gad2,Slc32a1","Gabbr2",0,0.743623629606016,0.830508153163766,0.785866074641874,0
"Gad1,Gad2,Slc32a1","Gabra1",0,0.743623629606016,0.859640973357721,0.799530700327584,0
"Gad1,Gad2,Slc32a1","Gabra3",0,0.743623629606016,0.728794021601911,0.736171485170934,0
"Gad1,Gad2,Slc32a1","Gabra5",0,0.743623629606016,0.772436715323349,0.757893260221845,0
"Gad1,Gad2,Slc32a1","Gabrb2",0,0.743623629606016,0.759685550117118,0.751611685737611,0
"Gad1,Gad2,Slc32a1","Gabrb3",0,0.743623629606016,0.738490739613046,0.741052740512768,0
"Gad1,Gad2,Slc32a1","Gabrg3",0,0.743623629606016,0.738498390813624,0.741056579375036,0
"Gja1","Gja1",0,0.742880666367757,0.742880666367757,0.742880666367757,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Gria1",0,0.706644442575008,0.773634188430323,0.739381024804069,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Gria3",0,0.706644442575008,0.80356845634271,0.753549722250068,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Gria4",0,0.706644442575008,0.799482471802818,0.751631455991294,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Grik1",0,0.706644442575008,0.801694604256669,0.752670603079691,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Grik2",0,0.706644442575008,0.825946273986733,0.763970120082101,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Grik3",0,0.706644442575008,0.79227539497761,0.748235928601299,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Grik4",0,0.706644442575008,0.793463793943611,0.74879688859846,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Grin2a",0,0.706644442575008,0.74550056952114,0.725812533915347,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Grin3a",0,0.706644442575008,0.758407140068739,0.73206843309815,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Grm1",0,0.706644442575008,0.751170321281039,0.728567315325447,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Grm4",0,0.706644442575008,0.790686773985052,0.747485394274764,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Grm5",0,0.706644442575008,0.786139280394863,0.745332780428277,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Grm7",0,0.706644442575008,0.825109871618117,0.763583201290286,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Grm8",0,0.706644442575008,0.807801206498512,0.755531755307188,0
"Nos1,Nos2,Nos3","Gucy1a1",0.000250521403270543,0.69956282277061,0.813855123537966,0.754548068414825,0.000189030440934359
"Nos1,Nos2,Nos3","Gucy1a2",0.000616415025858686,0.69956282277061,0.781546991818324,0.73941951537967,0.000455789299693176
"Npy","Npy2r",0.000303909038620283,0.770324028356026,0.728025799029428,0.748876335756087,0.000227590287245112
"Nrxn1","Nlgn1",0.000639779700695621,0.844152370250995,0.799201387472542,0.821369433046318,0.000525495490034905
"Nrxn1","Nlgn2",0,0.844152370250995,0.659037513982823,0.745874037296462,0
"Nrxn1","Nlgn3",0,0.844152370250995,0.700262559341578,0.76884868424562,0
"Nrxn2","Nlgn1",0,0.741472811132095,0.799201387472542,0.76979614147509,0
"Nrxn3","Nlgn1",0.0032053559244499,0.791801363217464,0.799201387472542,0.795492770605772,0.00254983746511828
"Nrxn3","Nlgn2",0,0.791801363217464,0.659037513982823,0.722375803846618,0
"Nrxn3","Nlgn3",0,0.791801363217464,0.700262559341578,0.744626650810198,0
"Nts","Ntsr1",0.000685095816926732,0.799520627508091,0.761956653097328,0.780512691388385,0.000534725979928408
"Nts","Ntsr2",0,0.799520627508091,0.723637460903924,0.760633339283959,0
"Penk","Oprm1",0,0.677219597615618,0.77959963800701,0.726608665756464,0
"Sst","Sstr1",0,0.726923319583509,0.718387932579948,0.722643024390155,0
"Sst","Sstr3",0,0.726923319583509,0.726015896180082,0.726469466200488,0
