"ligand","receptor","prob","ligand_confidence","receptor_confidence","combined_confidence","final_score"
"Th,Ddc,Dbh,Pnmt,Slc18a1,Slc18a2","Adra1b",0,0.680509389300544,0.662910518359266,0.671652314824844,0
"Th,Ddc,Dbh,Pnmt,Slc18a1,Slc18a2","Adra1d",0,0.680509389300544,0.751552218522399,0.715149174126732,0
"Th,Ddc,Dbh,Pnmt,Slc18a1,Slc18a2","Adra2b",0,0.680509389300544,0.665,0.672709999840096,0
"Th,Ddc,Dbh,Pnmt,Slc18a1,Slc18a2","Adrb1",0,0.680509389300544,0.676275284813029,0.678389033716765,0
"Th,Ddc,Dbh,Pnmt,Slc18a1,Slc18a2","Adrb2",0,0.680509389300544,0.661621619589298,0.670999049399289,0
"Gad1,Gad2,Slc32a1","Gabbr1",0,0.743623629606016,0.658118721174815,0.699566031302039,0
"Gad1,Gad2,Slc32a1","Gabra2",0,0.743623629606016,0.682919294166422,0.712625374412119,0
"Gad1,Gad2,Slc32a1","Gabra4",0,0.743623629606016,0.642621512260465,0.691280363825007,0
"Gad1,Gad2,Slc32a1","Gabra6",0,0.743623629606016,0.648100731880525,0.694221159711595,0
"Gad1,Gad2,Slc32a1","Gabrb1",0,0.743623629606016,0.659299042867773,0.700193078552699,0
"Gad1,Gad2,Slc32a1","Gabrg1",0,0.743623629606016,0.65555153724609,0.698200267488305,0
"Gad1,Gad2,Slc32a1","Gabrg2",0,0.743623629606016,0.674397831356597,0.708165350149115,0
"Gja3","Gja3",0,0.679505084896054,0.679505084896054,0.679505084896054,0
"Gja5","Gja5",0,0.707174023604864,0.707174023604864,0.707174023604864,0
"Gja8","Gja8",0,0.714218541487451,0.714218541487451,0.714218541487451,0
"Gjb1","Gjb1",0,0.694010216864687,0.694010216864687,0.694010216864687,0
"Gjb2","Gjb2",0,0.702288249922346,0.702288249922346,0.702288249922346,0
"Gjb3","Gjb3",0,0.717677896086138,0.717677896086138,0.717677896086138,0
"Gjc1","Gjc1",0.000162052307788224,0.681295049609513,0.681295049609513,0.681295049609513,0.000110405435073914
"Gjc2","Gjc2",0,0.677713022958306,0.677713022958306,0.677713022958306,0
"Gjc3","Gjc3",0,0.718473918432642,0.718473918432642,0.718473918432642,0
"Gjd2","Gjd2",0,0.669316247627131,0.669316247627131,0.669316247627131,0
"Gjd3","Gjd3",0,0.697665162176076,0.697665162176076,0.697665162176076,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Gria2",0,0.706644442575008,0.679064270723425,0.692717108968704,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Grik5",0,0.706644442575008,0.70295285079944,0.704796229707341,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Grin2b",0,0.706644442575008,0.720951920113515,0.713762332791523,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Grin2c",0,0.706644442575008,0.676111946317535,0.69120962769905,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Grin2d",0,0.706644442575008,0.724861754753897,0.715695138052516,0
"Gls,Slc17a6,Slc17a7,Slc17a8","Grm3",0,0.706644442575008,0.734272066572201,0.720325811824977,0
