Cell_ID,X_Coordinate,Y_Coordinate,Assigned_Cell_Type,Assignment_Probability,Is_Top_75_Percent,ROI_Region,In_E_Region,In_MVL_Region
CR158ee290a-6150,25081.28375,3770.47875,Ex_DACH2_NR4A3,0.0043897205,True,outside,False,False
CR158ee290a-6151,19273.052666666663,3070.0113333333334,Ex_DACH2_LHX2,0.0008851037,True,outside,False,False
CR158ee290a-6152,25379.060714285715,3216.6992857142855,Ex_DACH2_GRIK4,0.0008298877,True,outside,False,False
CR158ee290a-6153,17327.73642857143,12173.92857142857,Ex_SATB2_ZNF385B,0.001795714,True,outside,False,False
CR158ee290a-6154,27680.22875,11925.740833333335,Ex_DACH2_ITGA9,0.001707341,True,outside,False,False
CR158ee290a-6155,10474.498333333331,14223.92888888889,Inh_OB_CPA6,0.0009818878,True,e,True,False
CR158ee290a-6156,18477.61818181818,12775.652727272727,Ex_KIAA1217,0.0015974329,True,outside,False,False
CR158ee290a-6157,26229.05375,3666.8725,Ex_DACH2_ZMAT4,0.0008636603,True,outside,False,False
CR158ee290a-6158,6327.824375000001,10824.465625,Ex_SATB2_OVOA,0.0011947061,True,e,True,False
CR158ee290a-6159,16326.421111111113,14919.89111111111,Ex_DACH2_ADAMTS5,0.00096679025,True,outside,False,False
CR158ee290a-616,11719.2,14934.127777777778,Ex_DACH2_MGAT4C,0.0007892818,True,e,True,False
CR158ee290a-6160,9166.068333333336,15679.2475,Inh_LGE_like_FOXP2,0.0005541256,True,e,True,False
CR158ee290a-6161,24832.293,6315.738,Inh_LGE_like_FOXP1_DGKH,0.00057269516,True,outside,False,False
CR158ee290a-6162,7530.62,19424.177333333333,Ex_SATB2_OVOA,0.0017402609,True,outside,False,False
CR158ee290a-6163,16676.532142857144,427.9592857142857,Ex_DACH2_CEMIP,0.0064955265,True,outside,False,False
CR158ee290a-6164,19576.896666666667,13828.391666666668,Ex_DACH2_CEMIP,0.00064555864,True,outside,False,False
CR158ee290a-6165,27536.21888888889,13031.187777777775,Ex_DACH2_MGAT4C,0.0011479345,True,outside,False,False
CR158ee290a-6166,27186.99481481481,17079.90074074074,Inh_MGE_like_SST_PVALB,0.000993718,True,outside,False,False
CR158ee290a-6167,14372.21,26982.685714285715,Ex_SATB2_ZNF385B,0.0012017434,True,outside,False,False
CR158ee290a-6168,7771.583157894735,17431.123684210525,Inh_MGE_like_SST_PVALB,0.00123095,True,outside,False,False
CR158ee290a-6169,13619.006,17876.614,Ex_BCL6,0.0009414397,True,outside,False,False
CR158ee290a-617,6275.678888888889,17564.88666666667,Ex_DACH2_MGAT4C,0.0005177397,True,outside,False,False
CR158ee290a-6170,30126.00368421052,10821.443157894735,Ex_DACH2_ITGA9,0.006573971,True,outside,False,False
CR158ee290a-6171,23730.61142857143,6522.076071428572,Ex_SATB2_OVOA,0.0023014424,True,outside,False,False
CR158ee290a-6172,30426.43133333333,10168.006,Inh_MGE_like_SST_SLC24A2,0.0011129747,True,outside,False,False
CR158ee290a-6173,23072.95111111111,9619.981111111112,Ex_DACH2_ITGA9,0.002435287,True,outside,False,False
CR158ee290a-6174,11679.511176470589,6017.807647058823,Inh_MGE_like_SST_SLC24A2,0.0015779115,True,mvl,False,True
CR158ee290a-6175,20574.948333333334,13575.843888888887,Ex_SATB2_OVOA,0.0006163353,True,outside,False,False
CR158ee290a-6176,25781.20642857143,19380.020714285714,Ex_SATB2_FOXP2,0.0012600165,True,outside,False,False
CR158ee290a-6177,8554.597840909091,11252.280946969697,Inh_MGE_like_SST_SLC24A2,0.012488625,True,e,True,False
CR158ee290a-6178,22623.37789473684,12080.18157894737,Ex_SATB2_OVOA,0.0010409867,True,outside,False,False
CR158ee290a-6179,24324.866923076926,7875.784615384615,Inh_MGE_like_SST_SLC24A2,0.0023534829,True,outside,False,False
CR158ee290a-618,6715.755555555556,7521.233333333334,Ex_DACH2_MGAT4C,0.001054123,True,outside,False,False
CR158ee290a-6180,9730.478888888889,22814.88111111111,Inh_LGE_like_FOXP1_DGKH,0.001212246,True,outside,False,False
CR158ee290a-6181,13722.472941176473,3570.33,Ex_DACH2_ADAMTS5,0.00087276776,True,outside,False,False
CR158ee290a-6182,9931.277333333332,14773.836666666664,Inh_MGE_like_SST_PVALB,0.00091124413,True,e,True,False
CR158ee290a-6183,9021.51875,15425.203749999999,Inh_MGE_like_SST_PVALB,0.0010245149,True,e,True,False
CR158ee290a-6184,11775.37,12070.073076923078,Ex_DACH2_ZMAT4,0.0016167267,True,e,True,False
CR158ee290a-6185,21723.81956521739,6273.53695652174,Inh_LGE_like_FOXP2,0.0005918422,True,outside,False,False
CR158ee290a-6186,8972.167692307692,17827.786153846155,Inh_LGE_like_FOXP2,0.0011264209,True,outside,False,False
CR158ee290a-6187,15483.477777777776,16472.885555555556,Ex_DACH2_RORB,0.0051016053,True,outside,False,False
CR158ee290a-6188,13175.902941176471,15625.997647058824,Ex_SATB2_OVOA,0.0011010715,True,e,True,False
CR158ee290a-6189,15972.252666666667,11869.222,Ex_DACH2_MGAT4C,0.0017250024,True,outside,False,False
CR158ee290a-619,14124.577777777777,12376.695555555554,Inh_OB_CPA6,0.0015046534,True,outside,False,False
CR158ee290a-6190,11180.215714285714,10521.216428571428,Ex_DACH2_ITGA9,0.007449505,True,e,True,False
CR158ee290a-6191,9972.66,19374.354761904764,Inh_LGE_like_FOXP1_DGKH,0.0005100449,True,outside,False,False
CR158ee290a-6192,22217.583846153844,11578.573076923078,Inh_LGE_like_FOXP2,0.0016582804,True,outside,False,False
CR158ee290a-6193,6126.242857142856,10868.098571428573,Inh_MGE_like_SST_PVALB,0.0016180866,True,e,True,False
CR158ee290a-6194,10275.04,11125.40125,Ex_DACH2_RORB,0.0033299925,True,e,True,False
CR158ee290a-6195,15274.955,12324.3425,Inh_MGE_like_SST_SLC24A2,0.001482631,True,outside,False,False
CR158ee290a-6196,28363.744761904763,5075.629523809524,Ex_SATB2_ZNF385B,0.0011509076,True,outside,False,False
CR158ee290a-6197,22337.083846153848,13875.94076923077,Ex_KIAA1217,0.0022695505,True,outside,False,False
